Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 302    Date: 21/01/13    Time: 12:20:10

 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +2.0014E-01  +8.8551E+01   
+1.2328E-01  +2.0017E-01  +8.8225E+01    
+1.5199E-01  +2.0003E-01  +8.7839E+01    
+1.8738E-01  +1.9994E-01  +8.7325E+01    
+2.3101E-01  +1.9990E-01  +8.6736E+01    
+2.8480E-01  +1.9967E-01  +8.5991E+01    
+3.5112E-01  +1.9956E-01  +8.5064E+01    
+4.3288E-01  +1.9933E-01  +8.3920E+01    
+5.3367E-01  +1.9870E-01  +8.2559E+01    
+6.5790E-01  +1.9791E-01  +8.0857E+01    
+8.1110E-01  +1.9665E-01  +7.8749E+01    
+1.0000E+00  +1.9464E-01  +7.6332E+01    
+1.2329E+00  +1.9167E-01  +7.3333E+01    
+1.5199E+00  +1.8783E-01  +6.9766E+01    
+1.8738E+00  +1.8204E-01  +6.5552E+01    
+2.3101E+00  +1.7454E-01  +6.0765E+01    
+2.8481E+00  +1.6446E-01  +5.5346E+01    
+3.5112E+00  +1.5225E-01  +4.9657E+01    
+4.3288E+00  +1.3806E-01  +4.3718E+01    
+5.3368E+00  +1.2249E-01  +3.7836E+01    
+6.5790E+00  +1.0643E-01  +3.2177E+01    
+8.1110E+00  +9.0830E-02  +2.6935E+01    
+1.0000E+01  +7.6453E-02  +2.2435E+01    
+1.2329E+01  +6.3638E-02  +1.8513E+01    
+1.5199E+01  +5.2561E-02  +1.5134E+01    
+1.8738E+01  +4.3098E-02  +1.2295E+01    
+2.3102E+01  +3.5173E-02  +9.9021E+00    
+2.8481E+01  +2.8743E-02  +8.0678E+00    
+3.5112E+01  +2.3436E-02  +6.5383E+00    
+4.3288E+01  +1.8966E-02  +5.6193E+00    
+5.3368E+01  +1.5457E-02  +4.0012E+00    
+6.5790E+01  +1.2575E-02  +3.1121E+00    
+8.1110E+01  +1.0184E-02  +2.2723E+00    
+1.0000E+02  +8.2671E-03  +1.5854E+00    
+1.2329E+02  +6.7057E-03  +9.5927E-01    
+1.5199E+02  +5.4676E-03  +4.5414E-02    
+1.8739E+02  +4.4144E-03  -2.1778E-01    
+2.3102E+02  +3.5772E-03  -7.8822E-01    
+2.8481E+02  +2.9036E-03  -1.4160E+00    
+3.5113E+02  +2.3553E-03  -2.0959E+00    
+4.3289E+02  +1.9085E-03  -2.8137E+00    
+5.3368E+02  +1.5474E-03  -3.7039E+00    
+6.5790E+02  +1.2543E-03  -4.7545E+00    
+8.1120E+02  +1.0162E-03  -6.0118E+00    
+1.0000E+03  +8.2301E-04  -7.5338E+00    
+1.2329E+03  +6.6614E-04  -9.3933E+00    
+1.5200E+03  +5.3860E-04  -1.1659E+01    
+1.8739E+03  +4.3572E-04  -1.4356E+01    
+2.3102E+03  +3.5160E-04  -1.8781E+01    
+2.8481E+03  +2.7812E-04  -2.3414E+01    
+3.5113E+03  +2.1665E-04  -2.9509E+01    
+4.3289E+03  +1.5802E-04  -3.6399E+01    
+5.3369E+03  +1.1144E-04  -3.5684E+01    
+6.5795E+03  +9.3004E-05  -3.6909E+01    
+8.1115E+03  +7.5075E-05  -4.4438E+01    
+1.0000E+04  +5.7944E-05  -5.3600E+01    
                                        
                                        
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off                             
+1.0000E+00  +1.8723E-01  +1.1220E+02   
+1.2328E+00  +1.9785E-01  +1.0291E+02    
+1.5199E+00  +2.0274E-01  +9.3402E+01    
+1.8738E+00  +2.0202E-01  +8.3859E+01    
+2.3101E+00  +1.9578E-01  +7.4269E+01    
+2.8480E+00  +1.8464E-01  +6.4965E+01    
+3.5112E+00  +1.6889E-01  +5.5972E+01    
+4.3288E+00  +1.5053E-01  +4.7590E+01    
+5.3367E+00  +1.3110E-01  +3.9951E+01    
+6.5790E+00  +1.1210E-01  +3.3275E+01    
+8.1110E+00  +9.4333E-02  +2.7467E+01    
+1.0000E+01  +7.8543E-02  +2.2555E+01    
+1.2329E+01  +6.4870E-02  +1.8393E+01    
+1.5199E+01  +5.3232E-02  +1.5011E+01    
+1.8738E+01  +4.3465E-02  +1.2119E+01    
+2.3101E+01  +3.5570E-02  +9.7672E+00    
+2.8481E+01  +2.8883E-02  +7.9039E+00    
+3.5112E+01  +2.3457E-02  +6.3415E+00    
+4.3288E+01  +1.8978E-02  +4.6158E+00    
+5.3368E+01  +1.5474E-02  +3.9275E+00    
+6.5790E+01  +1.2551E-02  +3.0894E+00    
+8.1110E+01  +1.0203E-02  +2.2314E+00    
+1.0000E+02  +8.2726E-03  +1.5457E+00    
+1.2329E+02  +6.7122E-03  +9.4978E-01    
+1.5199E+02  +5.4213E-03  +2.3830E-02    
+1.8738E+02  +4.4179E-03  -2.5090E-01    
+2.3102E+02  +3.5800E-03  -7.5671E-01    
+2.8481E+02  +2.9036E-03  -1.4077E+00    
+3.5112E+02  +2.3562E-03  -2.0119E+00    
+4.3288E+02  +1.9103E-03  -2.8157E+00    
+5.3368E+02  +1.5489E-03  -3.6989E+00    
+6.5790E+02  +1.2560E-03  -4.7513E+00    
+8.1110E+02  +1.0171E-03  -6.0042E+00    
+1.0000E+03  +8.2399E-04  -7.5257E+00    
+1.2329E+03  +6.6692E-04  -9.3817E+00    
+1.5199E+03  +5.3922E-04  -1.1639E+01    
+1.8739E+03  +4.3635E-04  -1.4296E+01    
+2.3102E+03  +3.5229E-04  -1.8832E+01    
+2.8481E+03  +2.7863E-04  -2.3447E+01    
+3.5113E+03  +2.1696E-04  -2.9553E+01    
+4.3289E+03  +1.5830E-04  -3.6473E+01    
+5.3368E+03  +1.1150E-04  -3.5799E+01    
+6.5795E+03  +9.2998E-05  -3.6964E+01    
+8.1115E+03  +7.5085E-05  -4.4473E+01    
+1.0000E+04  +5.7965E-05  -5.3643E+01    
